0 {'s3': 100.0, 's2': 0.0, 's1': 50.0, 's4': 10.0}
1 {'s3': 109.1, 's2': 4.5, 's1': 60.0, 's4': 11.0}
2 {'s3': 109.929, 's2': 5.445, 's1': 60.91, 's4': 11.496}
3 {'s3': 110.00857, 's2': 5.53635, 's1': 60.9929, 's4': 11.58934}
4 {'s3': 110.0166647, 's2': 5.544724500000001, 's1': 61.000857, 's4': 11.5983572}
5 {'s3': 110.017483395, 's2': 5.545524375, 's1': 61.00166647, 's4': 11.599191852}
6 {'s3': 110.01756542407, 's2': 5.54560522605, 's1': 61.0017483395, 's4': 11.5992720277}
7 {'s3': 110.0175736084433, 's2': 5.5456134028155, 's1': 61.001756542407, 's4': 11.5992801245852}
8 {'s3': 110.01757442600575, 's2': 5.545614222844786, 's1': 61.00175736084433, 's4': 11.599280942337828}
9 {'s3': 110.0175745077639, 's2': 5.545614304704438, 's1': 61.00175744260058, 's4': 11.599281024316088}
10 {'s3': 110.01757451594192, 's2': 5.545614312881097, 's1': 61.00175745077639, 's4': 11.59928103250104}
11 {'s3': 110.01757451675978, 's2': 5.545614313698686, 's1': 61.001757451594194, 's4': 11.599281033318718}
12 {'s3': 110.01757451684156, 's2': 5.545614313780465, 's1': 61.00175745167598, 's4': 11.59928103340048}
13 {'s3': 110.01757451684975, 's2': 5.545614313788644, 's1': 61.001757451684156, 's4': 11.599281033408658}
14 {'s3': 110.01757451685057, 's2': 5.545614313789461, 's1': 61.00175745168497, 's4': 11.599281033409476}
15 {'s3': 110.01757451685064, 's2': 5.545614313789542, 's1': 61.00175745168506, 's4': 11.599281033409557}
16 {'s3': 110.01757451685066, 's2': 5.545614313789551, 's1': 61.001757451685066, 's4': 11.599281033409566}
17 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
18 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
19 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
20 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
21 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
22 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
23 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
24 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
25 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
26 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
27 {'s3': 110.01757451685066, 's2': 5.545614313789552, 's1': 61.001757451685066, 's4': 11.599281033409566}
